	LIST.ID	LIST.BIBL.UT	LIST.BIBL.EID	LIST.BIBL.AC	LIST.BIBL.CI	LIST.BIBL.CIAU	LIST.BIBL.TC	LIST.BIBL.PUBYEAR	LIST.BIBL.AUPUB	LIST.BIBL.TITLE	LIST.BIBL.VOLUME	LIST.BIBL.ISSUE	LIST.BIBL.PAGES	LIST.BIBL.DOI	LIST.SER.ISSN	LIST.SER.OA	LIST.SER.TITLE	LIST.CODES.RSR.VAL	LIST.CODES.RSR.SCI	LIST.CODES.PRJ.VAL	LIST.CODES.PRJ.SCI	LIST.CODES.PRG.VAL	LIST.CODES.PRG.SCI	LIST.CODES.GRP.VAL	LIST.CODES.GRP.SCI	LIST.CODES.ORG.VAL	LIST.CODES.ORG.SCI	LIST.CODES.UNI.VAL	LIST.CODES.UNI.SCI	LIST.CODES.NOR.VAL	LIST.CODES.NOR.SCI	TEME
1	10008916		2-s2.0-84881262440	0	1	0.2	1	2013	Domen Tabernik, Luka Øehovin, Matej Kristan, Marko Boben, Aleî Leonardis	A web service for object detection using hierarchical models	NA	NA	Str. 93-102	NA	0302-9743	sherpa_romeo	Lecture notes in computer science	05896,19284,29381,30155,34398	T0707,N0701,T0707,T0707,T0707	J2-8175,J2-9433	T0707,T07	P1-0294,P2-0214	N07,T07	0101-002,1539-010,1539-011,1669-001,2975-001	N0103,N0102,T0707,N,N07	0101,0510,1539,1669,1988,2975	N01,T0707,T0705,N,N,N	UNI-001,UNI-004		NA	NA	spletna storitev, hierarhi”ni modeli, LHOP, HoC, STORM, web-service, hierarchical models, Storm
2	10012950		2-s2.0-33746786487	10	20	3.34	30	2005	Tone Lerher, Matjañ Ñraml, Janez Kramberger, Iztok Potr”, Matej Borovinîek, Blañ Zmazek	Analytical travel time models for multi aisle automated storage and retrieval systems	NA	NA	[17] f.	HTTP://dx.doi.org/10.1007/s00170-005-006	0268-3768	sherpa_romeo	The international journal of advanced manufacturing technology	01375,02046,15571,16170,21379,25799	T1104,D0404,N0105,T1901,T1104,T1102	J2-8186,L5-8237,V4-1611	T1102,D0404,B0301	P1-0403,P2-0063,P2-0157	N0103,T11,T10	0795-043,0795-047,0795-064,0797-012,2429-001,2547-003	T1001,T1103,T1103,T0103,N,N01	0552,0795,0797,2429,2547	D03,T03,T01,N,N	UNI-002		NA	NA	avtomatizirano skladiî”enje, logistika, visokoregalna skladiî”a, simulacije, ”asovni modeli poti, warehousing, logistics, high rack storage, simulations, travel time models
3	10036564		2-s2.0-84879495098	0	6	1.5	6	2013	Rok Tav”ar, Joñe Dedi”, Drago Bokal, Andrej Çemva	Transforming the LSTM training algorithm for efficient FPGA-based adaptive control of nonlinear dynamic systems	Letn. 43	ît. 2	str. 131-138	NA	0352-9045		Informacije MIDEM	06041,13143,23411,33813	T0305,T09,N0105,T0701	L2-9236	T09	P2-0257	T0903	1538-002,2548-001,3652-001	T0903,T07,N0206	0510,1538,2548,3652	T0707,T03,N07,N0206	UNI-001		NA	NA	prediktivno vodenje, vodenje nelinearnih dinami”nih sistemov, vezja FPGA, predictive control, control of nonlinear dynamic systems, FPGA devices
4	10049876		2-s2.0-84882433077	4	8	2	12	2013	Aljañ Velikonja, Tomañ Slivnik, Veronika Kralj-Igli”, Aleî Ñ Igli”	The quadrupole moment of water molecules and the permittivity of water near a charged surface	Vol. 109	NA	str. 656-662	10.1016/j.electacta.2013.07.126	0013-4686	sherpa_romeo	Electrochimica Acta	02114,04634,05916,34203,36795	T0601,T0609,M03,M03,T0701	J1-9162,J2-8166,J2-8169,J3-9262	N03,T0401,T0401,M02	P2-0232,P3-0388	T06,M08	0381-056,0382-002,1538-026	M03,M,N0202	0381,0382,0510,1538	M,M,T0707,T03	UNI-001		NA	NA	voda, elektrostatika, water, electrostatics
5	10062102		2-s2.0-29144471950	0	1	1	1	2005	Rok Straîek	Ultraprimeness of the Lorentz algebra	Vol. 118	no. 4	str. 501-506	10.1007/s00229-005-0601-2	0025-2611	sherpa_romeo	Manuscripta mathematica	17808	N0101	NA	NA	P1-0288	N01	0101-001,1669-001,7097-001	N0101,N,D04	0101,1669,1988,7097	N01,N,N,D04	UNI-004		NA	NA	matematika, Lorentzova algebra, mathemarics, Lorentz algebra
6	10068825		2-s2.0-23044523109	0	4	4	4	2000	Milan Hladnik	Compact Schur multipliers	Vol. 128	no. 9	str. 2585-2591	NA	Feb-39	sherpa_romeo	Proceedings of the American Mathematical Society	3429	N0101	NA	NA	NA	NA	NA	NA	NA	NA	UNI-001		NA	NA	matematika, teorija operatorjev, Schurovi multiplikatorji, kompaktni multiplikatorji, îibko kompaktni multiplikatorji, Haagerupovi tenzorski produkti, mathematics, operator theory, Schur multipliers, compact multipliers, weakly compact multipliers, Haagerup tensor products
7	10086745		2-s2.0-23044518743	7	5	5	12	2000	Bojan Magajna	C [ast] -convex sets and completely bounded bimodule homomorphisms	Vol. 130	NA	str. 375-387	NA	0308-2105	sherpa_romeo	Proceedings	1470	N0101	NA	NA	P1-0288	N01	0101-001,1554-001	N0101,N01	0101,0510,1554	N01,T0707,N0201	UNI-001		NA	NA	matematika, funkcionalna analiza, teorija operatorjev, <U+25AB>$C^\ast$<U+25AB>-algebre, von Neumannove algebre, <U+25AB>$C^\ast$<U+25AB>-konveksne mnoñice, povsem omejeni homomorfizmi, mathematics, functional analysis, operator theory, <U+25AB>$C^\ast$<U+25AB>-algebras, von Neumann algebras, completely bounded homomorphisms
8	10109529		2-s2.0-0034347773	0	1	0.33	1	2000	Alberto Cavicchioli, Duîan D. Repovî, Arkadiy B. Skopenkov	An extension of the Bolsinov-Fomenko theorem on orbital classification of integrable Hamiltonian systems	Vol. 30	no. 2	str. 447-476	NA	0035-7596	sherpa_romeo	Rocky Mountain journal of mathematics	7083	N0101	J1-8131,N1-0064,N1-0083	N01,N0101,N0101	P1-0292	N01	0101-001,0588-002,1554-001	N0101,D0103,N01	0101,0510,0588,1554	N01,T0707,D0103,N0201	UNI-001		NA	NA	matematika, topologija, topoloîka klasifikacija orbit, integrabilni Hamiltonovi sistemi, Seifertovi sveñnji, mathematics, topology, topological orbital classification, non-degenerate integrable Hamiltonian systems, non-orientable separatrix diagram, Seifert fibration, constant energy manifold, Seifert section, <U+25AB>$t$<U+25AB>-labeled graph, <U+25AB>$t$<U+25AB>-equivalence, admissible cycle, 2-atom, double, star, 3-atom
9	10110553		2-s2.0-0034404457	22	73	24.32	95	2000	Aleksander Malni”, Roman Nedela, Martin Ñkoviera	Lifting graph automorphisms by voltage assignments	Vol. 21	no. 7	str. 927-947	NA	0195-6698	sherpa_romeo	European journal of combinatorics	2507,27776	N0105,N0105	J1-9108,J1-9187,N1-0062	N01,N07,N0104	P1-0285	N01	0101-001,0588-002,1669-001	N0101,D0103,N	0101,0510,0588,1669,1988	N01,T0707,D0103,N,N	UNI-001,UNI-004		NA	NA	matematika, teorija grafov, krovni grafi, dvig avtomorfizmov, napetost, razîiritev grup, Cayleyevi grafi, mathematics, graph theory, covering graphs, automorphisms, liftings, group extensions, Cayley graphs
10	10118217		2-s2.0-84903946474	0	1	0.33	1	2014	Tatjana Devjak, Sre”ko Devjak, Alenka Polak	Dejavniki vpliva na izbiro pedagoîkega poklica	Letn. 29	[ît.] 1	str. 3-18	NA	0353-1392		Pedagoîka obzorja	03958,13907,17084	N0106,D09,D01	J5-9328	D01	NA	NA	0588-002	D0103	510,0588	T0707,D0103	UNI-001		NA	NA	career development, education, poklicni razvoj, vzgoja in izobrañevanje, pedagoîki poklic, profesionalni razvoj, îtudenti
11	1011849		2-s2.0-0037767073	0	0	0	0	2003	Devjak Srecko, Tiîler Vesna	Empirical model of wood staining by tannin-based stains	Vol. 47	No. 3	str. 27-38	NA	Dec-36		Drev˙rsky v_skum	2037,03958	B01,N0106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	model, tannin, tannin-based stains
12	10124377		2-s2.0-23044524574	0	1	0.5	1	2001	Duîan D. Repovî, Arkadiy B. Skopenkov	On contractible n-dimensional compacta, non-embeddable into R [sup] {2n}	Vol. 129	no. 2	str. 627-628	NA	Feb-39	sherpa_romeo	Proceedings of the American Mathematical Society	7083	N0101	J1-8131,N1-0064,N1-0083	N01,N0101,N0101	P1-0292	N01	0101-001,0588-002,1554-001	N0101,D0103,N01	0101,0510,0588,1554	N01,T0707,D0103,N0201	UNI-001		NA	NA	matematika, topologija, vloñitve v evklidski prostor, ekvivariantne preslikave, kompaktni metri”ni prostori, skr”ljivi kompakti, involucija, Borsuk-Ulamov izrek, mathematics, topology, embeddings in Euclidean space, equivariant maps, compact metric spaces, contractible compacta, involution, Borsuk-Ulam theorem, antipode
