LIST.ID	AVTOR1	AVTOR2
1	10008916	05896	19284
2	10008916	05896	29381
3	10008916	05896	30155
4	10008916	05896	34398
5	10008916	19284	29381
6	10008916	19284	30155
7	10008916	19284	34398
8	10008916	29381	30155
9	10008916	29381	34398
10	10008916	30155	34398
11	10012950	01375	02046
12	10012950	01375	15571
13	10012950	01375	16170
14	10012950	01375	21379
15	10012950	01375	25799
16	10012950	02046	15571
17	10012950	02046	16170
18	10012950	02046	21379
19	10012950	02046	25799
20	10012950	15571	16170
21	10012950	15571	21379
22	10012950	15571	25799
23	10012950	16170	21379
24	10012950	16170	25799
25	10012950	21379	25799
26	10036564	06041	13143
27	10036564	06041	23411
28	10036564	06041	33813
29	10036564	13143	23411
30	10036564	13143	33813
31	10036564	23411	33813
32	10049876	02114	04634
33	10049876	02114	05916
34	10049876	02114	34203
35	10049876	02114	36795
36	10049876	04634	05916
37	10049876	04634	34203
38	10049876	04634	36795
39	10049876	05916	34203
40	10049876	05916	36795
41	10049876	34203	36795
42	10110553	02507	27776
43	10118217	03958	13907
44	10118217	03958	17084
45	10118217	13907	17084
46	1011849	02037	03958
47	10126809	00206	06989
48	10126809	00206	19326
49	10126809	06989	19326
50	10141273	03342	07083
51	10142297	07083	10384
52	10164308	04242	15295
53	10164308	04242	29486
54	10164308	15295	29486
55	10165332	04242	29486
56	10215432	03430	11666
57	1024053332	23341	24997
58	1024054100	21656	23341
59	1024054612	18838	19284
60	1024054612	18838	21656
61	1024054612	19284	21656
62	1024060481	22353	22649
63	1024060481	22353	28255
64	1024060481	22649	28255
65	1024072020	02887	24997
66	1024072276	02887	24997
67	1024085332	23341	24997
68	1024098900	03425	27559
69	1024189012	02887	24997
70	1024189012	02887	25997
71	1024189012	24997	25997
72	1024192340	00755	02887
73	1024195924	24997	25997
74	1024198996	02887	25997
75	1024253268	02887	23341
76	1024253268	02887	24997
77	1024253268	23341	24997
78	10242587	01698	05474
79	10242587	01698	18162
80	10242587	05474	18162
81	1024262996	02887	12768
82	1024262996	02887	18919
83	1024262996	02887	30865
84	1024262996	12768	18919
85	1024262996	12768	30865
86	1024262996	18919	30865
87	1024263252	27777	30920
88	1024263252	27777	31355
89	1024263252	30920	31355
90	1024270932	02507	23501
91	1024270932	02507	25997
92	1024270932	23501	25997
93	1024277076	02887	25997
94	1024278100	02887	28757
95	1024278100	02887	30865
96	1024278100	28757	30865
97	1024284244	18750	18893
98	1024284244	18750	25610
99	1024284244	18893	25610
100	1024291668	02887	24997
101	1024305756	31806	35343
102	1024308564	02887	24997
103	1024308564	02887	29597
104	1024308564	24997	29597
105	1024310868	02887	34109
106	1024316244	02507	23501
107	1024316244	02507	25997
108	1024316244	23501	25997
109	1024329300	21656	30211
110	1024339284	18838	19284
111	1024339284	18838	21656
112	1024339284	19284	21656
113	1024347476	25997	39384
114	1024359764	21656	23341
115	1024369492	25997	27776
116	1024369748	21656	23341
117	1024371028	02887	23341
118	1024371028	02887	24997
119	1024371028	23341	24997
120	1024390740	02507	02887
121	1024390740	02507	24997
122	1024390740	02887	24997
123	1024409428	02887	24997
124	1024409428	02887	29597
125	1024409428	24997	29597
126	1024425556	29820	30211
127	1024426580	02887	24997
128	1024426580	02887	25997
129	1024426580	24997	25997
130	1024426836	02887	24997
131	1024426836	02887	25997
132	1024426836	24997	25997
133	1024446036	24997	24999
134	1024447572	23467	27559
135	1024451924	02887	28757
136	1024473940	02887	25997
137	1024499540	01941	14273
138	1024499540	01941	30211
139	1024499540	14273	30211
140	1024500052	21656	24999
141	1024507220	02887	28757
142	1024507988	25997	34410
143	1024510804	02887	17808
144	1024510804	02887	21656
145	1024510804	02887	24997
146	1024510804	17808	21656
147	1024510804	17808	24997
148	1024510804	21656	24997
149	1024532052	23467	27559
150	1024532052	23467	34384
151	1024532052	27559	34384
152	1024533588	02887	24997
153	1024533588	02887	32518
154	1024533588	24997	32518
155	10253396	12536	34728
156	10253396	12536	35422
157	10253396	34728	35422
158	10287655	01342	09087
159	10333012	16154	30918
160	10337881	07083	15530
161	10403929	07083	15530
162	10404441	07083	11660
163	10406233	02887	27776
164	10409300	05896	29381
165	10409300	05896	30155
166	10409300	05896	35209
167	10409300	29381	30155
168	10409300	29381	35209
169	10409300	30155	35209
170	10433564	15500	18866
171	1043370	04101	15827
172	1043370	04101	23018
173	1043370	04101	35036
174	1043370	15827	23018
175	1043370	15827	35036
176	1043370	23018	35036
177	1043791	06989	08280
178	1043791	06989	12039
179	1043791	06989	20070
180	1043791	08280	12039
181	1043791	08280	20070
182	1043791	12039	20070
183	1043796	02114	10268
184	1043796	02114	15675
185	1043796	10268	15675
186	10444633	01395	05953
187	10444633	01395	09573
188	10444633	05953	09573
189	10483995	01698	05474
190	10483995	01698	08005
191	10483995	05474	08005
192	10497881	09990	20821
193	1050729	03324	14962
194	1050729	03324	17837
195	1050729	14962	17837
196	1050985	03324	14962
197	1050985	03324	17837
198	1050985	14962	17837
199	1051241	03324	10684
200	1051241	03324	14962
201	1051241	03324	17837
202	1051241	03324	27586
203	1051241	10684	14962
204	1051241	10684	17837
205	1051241	10684	27586
206	1051241	14962	17837
207	1051241	14962	27586
208	1051241	17837	27586
209	1051753	04546	08292
210	1051753	04546	14038
211	1051753	04546	17837
212	1051753	04546	18460
213	1051753	04546	24318
214	1051753	08292	14038
215	1051753	08292	17837
216	1051753	08292	18460
217	1051753	08292	24318
218	1051753	14038	17837
219	1051753	14038	18460
220	1051753	14038	24318
221	1051753	17837	18460
222	1051753	17837	24318
223	1051753	18460	24318
224	10528601	01941	02887
225	10537289	16081	17009
226	10549081	02887	18838
227	10564436	16154	34156
228	10614361	01395	03429
229	10614361	01395	09573
230	10614361	03429	09573
231	10616854	03430	23201
232	10620188	15500	18866
233	10636822	03430	15571
234	1064211	01587	03158
235	1064211	01587	04067
236	1064211	03158	04067
237	10644251	00807	12957
238	10644251	00807	15695
239	10644251	00807	21774
240	10644251	12957	15695
241	10644251	12957	21774
242	10644251	15695	21774
243	10645844	16154	30918
244	10645844	16154	34156
245	10645844	30918	34156
246	10660180	14565	16154
247	10660180	14565	28779
248	10660180	14565	30918
249	10660180	16154	28779
250	10660180	16154	30918
251	10660180	28779	30918
252	10664793	01395	09573
253	10664793	01395	11960
254	10664793	09573	11960
255	10669084	18866	21366
256	10669084	18866	32139
257	10669084	21366	32139
258	10683476	21404	37645
259	10683988	16154	30918
260	10683988	16154	33188
261	10683988	30918	33188
262	10698585	01941	11392
263	10710617	01935	05949
264	10710617	01935	18504
265	10710617	05949	18504
266	10711129	03430	15571
267	10720601	06599	09573
268	10726996	01075	04148
269	10726996	01075	15752
270	10726996	01075	31188
271	10726996	01075	32589
272	10726996	04148	15752
273	10726996	04148	31188
274	10726996	04148	32589
275	10726996	15752	31188
276	10726996	15752	32589
277	10726996	31188	32589
278	10773593	03430	15571
279	10774873	05949	08727
280	10774873	05949	16013
281	10774873	08727	16013
282	10775636	16386	22479
283	10775636	16386	25407
284	10775636	16386	25409
285	10775636	16386	25419
286	10775636	16386	35417
287	10775636	22479	25407
288	10775636	22479	25409
289	10775636	22479	25419
290	10775636	22479	35417
291	10775636	25407	25409
292	10775636	25407	25419
293	10775636	25407	35417
294	10775636	25409	25419
295	10775636	25409	35417
296	10775636	25419	35417
297	10785820	15500	18866
298	10797140	16154	30918
299	10832212	09634	28254
300	10834516	04546	16386
301	10834516	04546	22479
302	10834516	04546	33171
303	10834516	16386	22479
304	10834516	16386	33171
